token_idx,layer_id,expert_id,source
1,0,236,GPU
1,0,43,GPU
1,0,200,GPU
1,0,106,GPU
1,0,185,GPU
1,0,238,GPU
1,0,233,GPU
1,0,131,GPU
1,1,19,GPU
1,1,242,GPU
1,1,224,GPU
1,1,86,GPU
1,1,124,GPU
1,1,128,GPU
1,1,211,GPU
1,1,118,GPU
1,2,49,GPU
1,2,11,GPU
1,2,217,GPU
1,2,60,GPU
1,2,188,GPU
1,2,133,GPU
1,2,58,GPU
1,2,179,GPU
1,3,202,GPU
1,3,214,GPU
1,3,39,GPU
1,3,171,GPU
1,3,117,GPU
1,3,246,GPU
1,3,219,GPU
1,3,199,GPU
1,4,154,GPU
1,4,88,GPU
1,4,58,GPU
1,4,139,GPU
1,4,98,GPU
1,4,54,GPU
1,4,8,GPU
1,4,118,GPU
1,5,158,GPU
1,5,147,GPU
1,5,27,GPU
1,5,44,GPU
1,5,114,GPU
1,5,205,GPU
1,5,153,GPU
1,5,88,GPU
1,6,138,GPU
1,6,143,GPU
1,6,68,GPU
1,6,65,GPU
1,6,79,GPU
1,6,183,GPU
1,6,196,GPU
1,6,36,GPU
1,7,181,GPU
1,7,14,GPU
1,7,35,GPU
1,7,147,GPU
1,7,184,GPU
1,7,76,GPU
1,7,191,GPU
1,7,199,GPU
1,8,56,GPU
1,8,180,GPU
1,8,116,GPU
1,8,173,GPU
1,8,112,GPU
1,8,61,GPU
1,8,52,GPU
1,8,224,GPU
1,9,178,GPU
1,9,197,GPU
1,9,156,GPU
1,9,2,GPU
1,9,59,GPU
1,9,151,GPU
1,9,19,GPU
1,9,93,GPU
1,10,196,GPU
1,10,142,GPU
1,10,171,GPU
1,10,157,GPU
1,10,91,GPU
1,10,185,GPU
1,10,247,GPU
1,10,234,GPU
1,11,27,GPU
1,11,69,GPU
1,11,107,GPU
1,11,108,GPU
1,11,160,GPU
1,11,247,GPU
1,11,111,GPU
1,11,128,GPU
1,12,43,GPU
1,12,1,GPU
1,12,128,GPU
1,12,191,GPU
1,12,220,GPU
1,12,193,GPU
1,12,15,GPU
1,12,39,GPU
1,13,154,GPU
1,13,134,GPU
1,13,182,GPU
1,13,28,GPU
1,13,160,GPU
1,13,113,GPU
1,13,202,GPU
1,13,138,GPU
1,14,52,GPU
1,14,167,GPU
1,14,51,GPU
1,14,137,GPU
1,14,106,GPU
1,14,131,GPU
1,14,64,GPU
1,14,252,GPU
1,15,99,GPU
1,15,165,GPU
1,15,162,GPU
1,15,4,GPU
1,15,242,GPU
1,15,87,GPU
1,15,58,GPU
1,15,110,GPU
1,16,170,GPU
1,16,229,GPU
1,16,205,GPU
1,16,32,GPU
1,16,51,GPU
1,16,28,GPU
1,16,80,GPU
1,16,252,GPU
1,17,15,GPU
1,17,87,GPU
1,17,35,GPU
1,17,248,GPU
1,17,60,GPU
1,17,0,GPU
1,17,166,GPU
1,17,64,GPU
1,18,13,GPU
1,18,158,GPU
1,18,159,GPU
1,18,220,GPU
1,18,155,GPU
1,18,192,GPU
1,18,174,GPU
1,18,161,GPU
1,19,4,GPU
1,19,195,GPU
1,19,109,GPU
1,19,228,GPU
1,19,20,GPU
1,19,30,GPU
1,19,39,GPU
1,19,252,GPU
1,20,56,GPU
1,20,116,GPU
1,20,115,GPU
1,20,224,GPU
1,20,112,GPU
1,20,239,GPU
1,20,184,GPU
1,20,246,GPU
1,21,197,GPU
1,21,178,GPU
1,21,151,GPU
1,21,47,GPU
1,21,2,GPU
1,21,0,GPU
1,21,217,GPU
1,21,95,GPU
1,22,196,GPU
1,22,142,GPU
1,22,171,GPU
1,22,234,GPU
1,22,243,GPU
1,22,157,GPU
1,22,65,GPU
1,22,176,GPU
1,23,107,GPU
1,23,27,GPU
1,23,69,GPU
1,23,111,GPU
1,23,195,GPU
1,23,128,GPU
1,23,3,GPU
1,23,247,GPU
1,24,1,GPU
1,24,43,GPU
1,24,191,GPU
1,24,15,GPU
1,24,221,GPU
1,24,192,GPU
1,24,151,GPU
1,24,220,GPU
1,25,134,GPU
1,25,113,GPU
1,25,32,GPU
1,25,182,GPU
1,25,66,GPU
1,25,28,GPU
1,25,89,GPU
1,25,202,GPU
1,26,137,GPU
1,26,52,GPU
1,26,131,GPU
1,26,167,GPU
1,26,51,GPU
1,26,242,GPU
1,26,105,GPU
1,26,88,GPU
1,27,99,GPU
1,27,155,GPU
1,27,110,GPU
1,27,162,GPU
1,27,165,GPU
1,27,54,GPU
1,27,181,GPU
1,27,100,GPU
1,28,26,GPU
1,28,170,GPU
1,28,54,GPU
1,28,136,GPU
1,28,80,GPU
1,28,46,GPU
1,28,95,GPU
1,28,119,GPU
1,29,188,GPU
1,29,248,GPU
1,29,139,GPU
1,29,166,GPU
1,29,229,GPU
1,29,60,GPU
1,29,187,GPU
1,29,17,GPU
1,30,13,GPU
1,30,158,GPU
1,30,159,GPU
1,30,71,GPU
1,30,220,GPU
1,30,174,GPU
1,30,177,GPU
1,30,163,GPU
1,31,228,GPU
1,31,221,GPU
1,31,199,GPU
1,31,75,GPU
1,31,30,GPU
1,31,96,GPU
1,31,91,GPU
1,31,229,GPU
1,32,42,GPU
1,32,89,GPU
1,32,185,GPU
1,32,192,GPU
1,32,17,GPU
1,32,21,GPU
1,32,178,GPU
1,32,107,GPU
1,33,105,GPU
1,33,244,GPU
1,33,127,GPU
1,33,107,GPU
1,33,49,GPU
1,33,58,GPU
1,33,214,GPU
1,33,16,GPU
1,34,45,GPU
1,34,12,GPU
1,34,21,GPU
1,34,252,GPU
1,34,56,GPU
1,34,63,GPU
1,34,81,GPU
1,34,58,GPU
1,35,132,GPU
1,35,22,GPU
1,35,218,GPU
1,35,61,GPU
1,35,35,GPU
1,35,212,GPU
1,35,112,GPU
1,35,135,GPU
1,36,253,GPU
1,36,246,GPU
1,36,152,GPU
1,36,211,GPU
1,36,248,GPU
1,36,202,GPU
1,36,28,GPU
1,36,117,GPU
1,37,158,GPU
1,37,67,GPU
1,37,143,GPU
1,37,161,GPU
1,37,135,GPU
1,37,145,GPU
1,37,174,GPU
1,37,60,GPU
1,38,9,GPU
1,38,101,GPU
1,38,30,GPU
1,38,234,GPU
1,38,136,GPU
1,38,43,GPU
1,38,254,GPU
1,38,166,GPU
1,39,246,GPU
1,39,250,GPU
1,39,1,GPU
1,39,248,GPU
1,39,92,GPU
1,39,203,GPU
1,39,201,GPU
1,39,15,GPU
2,0,210,GPU
2,0,144,GPU
2,0,186,GPU
2,0,92,GPU
2,0,155,GPU
2,0,234,GPU
2,0,172,GPU
2,0,84,GPU
2,1,217,GPU
2,1,95,GPU
2,1,195,GPU
2,1,182,GPU
2,1,198,GPU
2,1,255,GPU
2,1,211,GPU
2,1,118,GPU
2,2,159,GPU
2,2,92,GPU
2,2,13,GPU
2,2,49,GPU
2,2,150,GPU
2,2,58,GPU
2,2,253,GPU
2,2,158,GPU
2,3,42,GPU
2,3,177,GPU
2,3,202,GPU
2,3,39,GPU
2,3,159,GPU
2,3,199,GPU
2,3,155,GPU
2,3,156,GPU
2,4,154,GPU
2,4,94,GPU
2,4,98,GPU
2,4,58,GPU
2,4,160,GPU
2,4,192,GPU
2,4,88,GPU
2,4,133,GPU
2,5,147,GPU
2,5,165,GPU
2,5,2,GPU
2,5,144,GPU
2,5,158,GPU
2,5,52,GPU
2,5,120,GPU
2,5,62,GPU
2,6,154,GPU
2,6,79,GPU
2,6,183,GPU
2,6,171,GPU
2,6,55,GPU
2,6,59,GPU
2,6,196,GPU
2,6,92,GPU
2,7,181,GPU
2,7,76,GPU
2,7,35,GPU
2,7,79,GPU
2,7,147,GPU
2,7,199,GPU
2,7,14,GPU
2,7,171,GPU
2,8,56,GPU
2,8,159,GPU
2,8,220,GPU
2,8,224,GPU
2,8,61,GPU
2,8,180,GPU
2,8,52,GPU
2,8,77,GPU
2,9,197,GPU
2,9,47,GPU
2,9,198,GPU
2,9,8,GPU
2,9,120,GPU
2,9,161,GPU
2,9,156,GPU
2,9,59,GPU
2,10,142,GPU
2,10,196,GPU
2,10,171,GPU
2,10,9,GPU
2,10,234,GPU
2,10,91,GPU
2,10,165,GPU
2,10,207,GPU
2,11,3,GPU
2,11,153,GPU
2,11,107,GPU
2,11,69,GPU
2,11,145,GPU
2,11,255,GPU
2,11,147,GPU
2,11,111,GPU
2,12,39,GPU
2,12,208,GPU
2,12,169,GPU
2,12,1,GPU
2,12,155,GPU
2,12,194,GPU
2,12,191,GPU
2,12,193,GPU
2,13,154,GPU
2,13,113,GPU
2,13,13,GPU
2,13,219,GPU
2,13,138,GPU
2,13,66,GPU
2,13,28,GPU
2,13,160,GPU
2,14,52,GPU
2,14,167,GPU
2,14,51,GPU
2,14,137,GPU
2,14,131,GPU
2,14,106,GPU
2,14,64,GPU
2,14,159,GPU
2,15,248,GPU
2,15,4,GPU
2,15,165,GPU
2,15,242,GPU
2,15,162,GPU
2,15,213,GPU
2,15,150,GPU
2,15,54,GPU
2,16,170,GPU
2,16,80,GPU
2,16,54,GPU
2,16,46,GPU
2,16,205,GPU
2,16,51,GPU
2,16,32,GPU
2,16,252,GPU
2,17,236,GPU
2,17,15,GPU
2,17,35,GPU
2,17,188,GPU
2,17,242,GPU
2,17,115,GPU
2,17,78,GPU
2,17,88,GPU
2,18,158,GPU
2,18,192,GPU
2,18,13,GPU
2,18,69,GPU
2,18,251,GPU
2,18,174,GPU
2,18,226,GPU
2,18,177,GPU
2,19,228,GPU
2,19,51,GPU
2,19,30,GPU
2,19,39,GPU
2,19,229,GPU
2,19,14,GPU
2,19,4,GPU
2,19,75,GPU
2,20,159,GPU
2,20,220,GPU
2,20,115,GPU
2,20,56,GPU
2,20,224,GPU
2,20,116,GPU
2,20,107,GPU
2,20,103,GPU
2,21,197,GPU
2,21,47,GPU
2,21,151,GPU
2,21,198,GPU
2,21,5,GPU
2,21,120,GPU
2,21,212,GPU
2,21,63,GPU
2,22,142,GPU
2,22,196,GPU
2,22,9,GPU
2,22,234,GPU
2,22,171,GPU
2,22,0,GPU
2,22,187,GPU
2,22,114,GPU
2,23,107,GPU
2,23,69,GPU
2,23,3,GPU
2,23,153,GPU
2,23,145,GPU
2,23,66,GPU
2,23,111,GPU
2,23,27,GPU
2,24,106,GPU
2,24,191,GPU
2,24,1,GPU
2,24,155,GPU
2,24,39,GPU
2,24,206,GPU
2,24,139,GPU
2,24,153,GPU
2,25,113,GPU
2,25,13,GPU
2,25,28,GPU
2,25,199,GPU
2,25,200,GPU
2,25,202,GPU
2,25,66,GPU
2,25,32,GPU
2,26,52,GPU
2,26,137,GPU
2,26,167,GPU
2,26,83,GPU
2,26,131,GPU
2,26,67,GPU
2,26,54,GPU
2,26,138,GPU
2,27,233,GPU
2,27,248,GPU
2,27,100,GPU
2,27,110,GPU
2,27,155,GPU
2,27,213,GPU
2,27,54,GPU
2,27,71,GPU
2,28,54,GPU
2,28,26,GPU
2,28,170,GPU
2,28,230,GPU
2,28,80,GPU
2,28,136,GPU
2,28,46,GPU
2,28,31,GPU
2,29,188,GPU
2,29,236,GPU
2,29,248,GPU
2,29,166,GPU
2,29,242,GPU
2,29,187,GPU
2,29,139,GPU
2,29,60,GPU
2,30,13,GPU
2,30,158,GPU
2,30,69,GPU
2,30,192,GPU
2,30,106,GPU
2,30,220,GPU
2,30,190,GPU
2,30,165,GPU
2,31,51,GPU
2,31,229,GPU
2,31,233,GPU
2,31,71,GPU
2,31,14,GPU
2,31,137,GPU
2,31,30,GPU
2,31,226,GPU
2,32,146,GPU
2,32,195,GPU
2,32,194,GPU
2,32,86,GPU
2,32,178,GPU
2,32,199,GPU
2,32,50,GPU
2,32,148,GPU
2,33,75,GPU
2,33,49,GPU
2,33,97,GPU
2,33,37,GPU
2,33,94,GPU
2,33,6,GPU
2,33,81,GPU
2,33,189,GPU
2,34,212,GPU
2,34,255,GPU
2,34,45,GPU
2,34,187,GPU
2,34,19,GPU
2,34,21,GPU
2,34,169,GPU
2,34,54,GPU
2,35,49,GPU
2,35,212,GPU
2,35,22,GPU
2,35,156,GPU
2,35,165,GPU
2,35,35,GPU
2,35,89,GPU
2,35,167,GPU
2,36,234,GPU
2,36,158,GPU
2,36,0,GPU
2,36,8,GPU
2,36,172,GPU
2,36,98,GPU
2,36,28,GPU
2,36,131,GPU
2,37,145,GPU
2,37,64,GPU
2,37,220,GPU
2,37,84,GPU
2,37,93,GPU
2,37,11,GPU
2,37,34,GPU
2,37,4,GPU
2,38,94,GPU
2,38,139,GPU
2,38,248,GPU
2,38,196,GPU
2,38,59,GPU
2,38,22,GPU
2,38,35,GPU
2,38,84,GPU
2,39,241,GPU
2,39,23,GPU
2,39,68,GPU
2,39,16,GPU
2,39,89,GPU
2,39,146,GPU
2,39,165,GPU
2,39,36,GPU
3,0,93,GPU
3,0,233,GPU
3,0,40,GPU
3,0,250,GPU
3,0,127,GPU
3,0,210,GPU
3,0,147,GPU
3,0,136,GPU
3,1,16,GPU
3,1,40,GPU
3,1,183,GPU
3,1,234,GPU
3,1,81,GPU
3,1,96,GPU
3,1,222,GPU
3,1,98,GPU
3,2,253,GPU
3,2,39,GPU
3,2,120,GPU
3,2,84,GPU
3,2,106,GPU
3,2,158,GPU
3,2,80,GPU
3,2,10,GPU
3,3,188,GPU
3,3,216,GPU
3,3,236,GPU
3,3,17,GPU
3,3,228,GPU
3,3,255,GPU
3,3,202,GPU
3,3,150,GPU
3,4,154,GPU
3,4,119,GPU
3,4,122,GPU
3,4,58,GPU
3,4,172,GPU
3,4,98,GPU
3,4,160,GPU
3,4,123,GPU
3,5,61,GPU
3,5,250,GPU
3,5,31,GPU
3,5,151,GPU
3,5,158,GPU
3,5,153,GPU
3,5,2,GPU
3,5,120,GPU
3,6,49,GPU
3,6,79,GPU
3,6,154,GPU
3,6,196,GPU
3,6,171,GPU
3,6,230,GPU
3,6,157,GPU
3,6,156,GPU
3,7,199,GPU
3,7,76,GPU
3,7,147,GPU
3,7,195,GPU
3,7,35,GPU
3,7,204,GPU
3,7,79,GPU
3,7,36,GPU
3,8,56,GPU
3,8,107,GPU
3,8,159,GPU
3,8,55,GPU
3,8,182,GPU
3,8,52,GPU
3,8,46,GPU
3,8,224,GPU
3,9,217,GPU
3,9,108,GPU
3,9,44,GPU
3,9,61,GPU
3,9,120,GPU
3,9,207,GPU
3,9,197,GPU
3,9,125,GPU
3,10,62,GPU
3,10,171,GPU
3,10,63,GPU
3,10,234,GPU
3,10,205,GPU
3,10,8,GPU
3,10,196,GPU
3,10,142,GPU
3,11,111,GPU
3,11,107,GPU
3,11,145,GPU
3,11,3,GPU
3,11,69,GPU
3,11,56,GPU
3,11,194,GPU
3,11,204,GPU
3,12,208,GPU
3,12,139,GPU
3,12,150,GPU
3,12,42,GPU
3,12,3,GPU
3,12,66,GPU
3,12,39,GPU
3,12,43,GPU
3,13,13,GPU
3,13,199,GPU
3,13,219,GPU
3,13,40,GPU
3,13,174,GPU
3,13,213,GPU
3,13,228,GPU
3,13,28,GPU
3,14,52,GPU
3,14,138,GPU
3,14,252,GPU
3,14,67,GPU
3,14,167,GPU
3,14,58,GPU
3,14,137,GPU
3,14,111,GPU
3,15,233,GPU
3,15,206,GPU
3,15,194,GPU
3,15,100,GPU
3,15,230,GPU
3,15,85,GPU
3,15,142,GPU
3,15,151,GPU
3,16,170,GPU
3,16,51,GPU
3,16,130,GPU
3,16,169,GPU
3,16,205,GPU
