token_idx,layer_id,expert_id,source
1,0,238,SSD
1,0,41,SSD
1,0,43,SSD
1,0,30,SSD
1,0,95,SSD
1,0,206,SSD
1,0,86,SSD
1,0,200,SSD
1,1,233,SSD
1,1,128,SSD
1,1,182,SSD
1,1,211,SSD
1,1,224,SSD
1,1,155,SSD
1,1,11,SSD
1,1,19,SSD
1,2,49,SSD
1,2,11,SSD
1,2,217,SSD
1,2,60,SSD
1,2,188,SSD
1,2,8,SSD
1,2,133,SSD
1,2,119,SSD
1,3,214,SSD
1,3,199,SSD
1,3,117,SSD
1,3,225,SSD
1,3,6,SSD
1,3,39,SSD
1,3,38,SSD
1,3,106,SSD
1,4,154,SSD
1,4,58,SSD
1,4,88,SSD
1,4,165,SSD
1,4,235,SSD
1,4,192,SSD
1,4,233,SSD
1,4,160,SSD
1,5,158,SSD
1,5,188,SSD
1,5,43,SSD
1,5,88,SSD
1,5,153,SSD
1,5,218,SSD
1,5,65,SSD
1,5,79,SSD
1,6,138,SSD
1,6,65,SSD
1,6,169,SSD
1,6,68,SSD
1,6,79,SSD
1,6,143,SSD
1,6,22,SSD
1,6,196,SSD
1,7,78,SSD
1,7,229,SSD
1,7,184,SSD
1,7,14,SSD
1,7,117,SSD
1,7,35,SSD
1,7,208,SSD
1,7,36,SSD
1,8,224,SSD
1,8,180,SSD
1,8,164,SSD
1,8,151,SSD
1,8,23,SSD
1,8,220,SSD
1,8,239,SSD
1,8,61,SSD
1,9,255,SSD
1,9,243,SSD
1,9,197,SSD
1,9,2,SSD
1,9,8,SSD
1,9,9,SSD
1,9,59,SSD
1,9,161,SSD
1,10,196,SSD
1,10,65,SSD
1,10,157,SSD
1,10,247,SSD
1,10,185,SSD
1,10,125,SSD
1,10,243,SSD
1,10,27,SSD
1,11,160,SSD
1,11,39,SSD
1,11,108,SSD
1,11,128,SSD
1,11,206,SSD
1,11,150,SSD
1,11,107,SSD
1,11,47,SSD
1,12,145,SSD
1,12,60,SSD
1,12,223,SSD
1,12,199,SSD
1,12,220,SSD
1,12,128,SSD
1,12,221,SSD
1,12,39,SSD
1,13,89,SSD
1,13,182,SSD
1,13,134,SSD
1,13,202,SSD
1,13,66,SSD
1,13,138,SSD
1,13,154,SSD
1,13,93,SSD
1,14,137,SSD
1,14,189,SSD
1,14,32,SSD
1,14,51,SSD
1,14,103,SSD
1,14,88,SSD
1,14,28,SSD
1,14,159,SSD
1,15,46,SSD
1,15,58,SSD
1,15,165,SSD
1,15,87,SSD
1,15,148,SSD
1,15,162,SSD
1,15,242,SSD
1,15,174,SSD
1,16,28,SSD
1,16,205,SSD
1,16,238,SSD
1,16,60,SSD
1,16,51,SSD
1,16,43,SSD
1,16,252,SSD
1,16,9,SSD
1,17,248,SSD
1,17,87,SSD
1,17,5,SSD
1,17,15,SSD
1,17,64,SSD
1,17,0,SSD
1,17,89,SSD
1,17,20,SSD
1,18,134,SSD
1,18,43,SSD
1,18,170,SSD
1,18,13,SSD
1,18,15,SSD
1,18,161,SSD
1,18,197,SSD
1,18,34,SSD
1,19,167,SSD
1,19,20,SSD
1,19,109,SSD
1,19,195,SSD
1,19,36,SSD
1,19,19,SSD
1,19,26,SSD
1,19,121,SSD
1,20,23,SSD
1,20,56,SSD
1,20,239,SSD
1,20,104,SSD
1,20,116,SSD
1,20,180,SSD
1,20,4,SSD
1,20,115,SSD
1,21,197,SSD
1,21,255,SSD
1,21,2,SSD
1,21,191,SSD
1,21,95,SSD
1,21,161,SSD
1,21,180,SSD
1,21,170,SSD
1,22,243,SSD
1,22,157,SSD
1,22,65,SSD
1,22,125,SSD
1,22,196,SSD
1,22,150,SSD
1,22,247,SSD
1,22,27,SSD
1,23,128,SSD
1,23,160,SSD
1,23,206,SSD
1,23,39,SSD
1,23,14,SSD
1,23,9,SSD
1,23,111,SSD
1,23,204,SSD
1,24,145,SSD
1,24,93,SSD
1,24,151,SSD
1,24,220,SSD
1,24,199,SSD
1,24,1,SSD
1,24,192,SSD
1,24,123,SSD
1,25,202,SSD
1,25,134,SSD
1,25,182,SSD
1,25,185,SSD
1,25,66,SSD
1,25,138,SSD
1,25,103,SSD
1,25,32,SSD
1,26,137,SSD
1,26,51,SSD
1,26,88,SSD
1,26,159,SSD
1,26,103,SSD
1,26,106,SSD
1,26,167,SSD
1,26,105,SSD
1,27,46,SSD
1,27,165,SSD
1,27,58,SSD
1,27,162,SSD
1,27,172,SSD
1,27,242,RAM
1,27,174,SSD
1,27,181,SSD
1,28,80,RAM
1,28,111,RAM
1,28,170,RAM
1,28,229,RAM
1,28,205,RAM
1,28,35,RAM
1,28,43,RAM
1,28,51,RAM
1,29,242,RAM
1,29,248,RAM
1,29,5,RAM
1,29,35,RAM
1,29,87,RAM
1,29,0,RAM
1,29,158,SSD
1,29,124,RAM
1,30,13,RAM
1,30,163,RAM
1,30,192,RAM
1,30,170,RAM
1,30,226,RAM
1,30,52,RAM
1,30,134,RAM
1,30,177,RAM
1,31,167,RAM
1,31,20,RAM
1,31,14,RAM
1,31,116,RAM
1,31,109,RAM
1,31,30,RAM
1,31,77,RAM
1,31,35,RAM
1,32,119,RAM
1,32,178,RAM
1,32,2,RAM
1,32,90,RAM
1,32,112,RAM
1,32,60,SSD
1,32,223,SSD
1,32,149,SSD
1,33,74,SSD
1,33,39,RAM
1,33,220,RAM
1,33,81,RAM
1,33,49,RAM
1,33,93,RAM
1,33,129,RAM
1,33,127,RAM
1,34,116,SSD
1,34,21,SSD
1,34,1,RAM
1,34,85,RAM
1,34,141,RAM
1,34,40,RAM
1,34,186,RAM
1,34,107,RAM
1,35,97,RAM
1,35,167,RAM
1,35,22,RAM
1,35,104,RAM
1,35,42,RAM
1,35,202,RAM
1,35,72,RAM
1,35,89,RAM
1,36,158,RAM
1,36,70,RAM
1,36,120,RAM
1,36,118,RAM
1,36,98,RAM
1,36,74,RAM
1,36,83,RAM
1,36,28,RAM
1,37,145,RAM
1,37,58,RAM
1,37,64,RAM
1,37,182,RAM
1,37,21,RAM
1,37,124,RAM
1,37,88,RAM
1,37,32,RAM
1,38,92,RAM
1,38,148,RAM
1,38,94,RAM
1,38,212,RAM
1,38,127,RAM
1,38,209,RAM
1,38,59,RAM
1,38,84,SSD
1,39,2,RAM
1,39,189,RAM
1,39,38,RAM
1,39,78,RAM
1,39,213,RAM
1,39,69,RAM
1,39,242,SSD
1,39,89,SSD
2,0,233,SSD
2,0,127,SSD
2,0,236,SSD
2,0,40,SSD
2,0,106,SSD
2,0,157,SSD
2,0,147,SSD
2,0,43,RAM
